,Wavelength,Transmittance,Reflectance,Absorbance
0,300.0,0.9146031538148626,0.08539517028331757,0.0
1,301.0,0.9146799315197164,0.08532487061023712,0.0
2,302.0,0.9147558237897875,0.08524252119064331,0.0
3,303.0,0.914830844641973,0.0851726948261261,0.0
4,304.0,0.9149050078087501,0.0850916671037674,0.0
5,305.0,0.91497832674593,0.08502195984125137,0.0
6,306.0,0.9150508146378146,0.08495228476524352,0.0
7,307.0,0.9151224844054968,0.08487632766962051,0.0
8,308.0,0.9151933487119087,0.08480819993019104,0.0
9,309.0,0.9152634199697117,0.08473982945680618,0.0
10,310.0,0.9153327103461252,0.08466443231105804,0.0
11,311.0,0.9154012317695702,0.08459646764993668,0.0
12,312.0,0.9154689959347475,0.08453321628570556,0.0
13,313.0,0.9155360143086125,0.08446559630632401,0.0
14,314.0,0.9156022981367526,0.08440245765447617,0.0
15,315.0,0.9156678584459272,0.08432880710363388,0.0
16,316.0,0.9157327060529904,0.08426603131294251,0.0
17,317.0,0.9157968515666384,0.0841998693704605,0.0
18,318.0,0.915860305393943,0.08413743805885315,0.0
19,319.0,0.9159230777441238,0.0840760394692421,0.0
20,320.0,0.9159851786345357,0.08401488630771636,0.0
21,321.0,0.9160466178934091,0.08395384430885315,0.0
22,322.0,0.9161074051650993,0.083892815721035,0.0
23,323.0,0.9161675499145105,0.08383181892633439,0.0
24,324.0,0.9162270614308207,0.08377120164632797,0.0
25,325.0,0.9162859488315509,0.08371150113344193,0.0
26,326.0,0.9163442210663734,0.08365100229978562,0.0
27,327.0,0.9164018869202515,0.08359514931440354,0.0
28,328.0,0.9164589550188904,0.08353595271110535,0.0
29,329.0,0.9165154338305758,0.08348730108737945,0.0
30,330.0,0.9165713316706775,0.08343281863927841,0.0
31,331.0,0.9166266567045043,0.08337399162054061,0.0
32,332.0,0.9166814169509849,0.08331490321159363,0.0
33,333.0,0.9167356202849777,0.08326088173389434,0.0
34,334.0,0.9167892744415814,0.08321382241249084,0.0
35,335.0,0.9168423870190318,0.08315991903543472,0.0
36,336.0,0.9168949654813324,0.08310128643512726,0.0
37,337.0,0.9169470171602481,0.08304773292541504,0.0
38,338.0,0.916998549260632,0.08300556044578553,0.0
39,339.0,0.9170495688595208,0.08294737024307251,0.0
40,340.0,0.9171000829129488,0.08289508309364318,0.0
41,341.0,0.917150098255468,0.08285330407619476,0.0
42,342.0,0.9171996216034269,0.08279642289876937,0.0
