,Wavelength,Transmittance,Reflectance,Absorbance
1,300.0,0.9243348384773038,0.07496682658189908,0.000698377617831609
2,301.0,0.9244306023695767,0.07486951577989384,0.0006999122818271437
3,302.0,0.9244907648684869,0.07481081215003318,0.0006984122484358047
4,303.0,0.9245077977208297,0.07479450598065926,0.0006977441384430863
5,304.0,0.9245431185496317,0.07475975428081769,0.0006971682902974665
6,305.0,0.9247172840661528,0.07458732183049618,0.0006954034040423147
7,306.0,0.9247347937868048,0.07456835245305765,0.0006968443549300937
8,307.0,0.9248112283314475,0.07449267674697468,0.0006961639296579784
9,308.0,0.9247804688106991,0.07452434369629528,0.0006951744478460334
10,309.0,0.9248362446039746,0.07446803089768066,0.0006956801337040846
11,310.0,0.9249340751004553,0.07437122399069555,0.0006947157583949339
12,311.0,0.9250005832219129,0.07430343599318154,0.000695990874204477
13,312.0,0.9250281620904071,0.07427764154340699,0.0006941732302469819
14,313.0,0.9251677788000388,0.07413869930852576,0.0006935712425053947
15,314.0,0.9251954924925965,0.07411176802918967,0.000692750480654662
16,315.0,0.9252136908910957,0.07409569150021952,0.0006905877510555473
17,316.0,0.9253399397838165,0.07396868046017736,0.0006913691429551599
18,317.0,0.925338782499666,0.07396993009338995,0.0006912375841314788
19,318.0,0.9253239110635707,0.073986872977769,0.0006892325817652873
20,319.0,0.9254832660276875,0.07382803017912806,0.0006887351079951576
21,320.0,0.9254775458574891,0.07383180765950029,0.0006906902437170807
22,321.0,0.9256157662359777,0.07369351051620301,0.0006907484941565405
23,322.0,0.9256474536614956,0.07366309456702136,0.0006894042921230156
24,323.0,0.9255855036710088,0.07372529207804798,0.0006890887480933158
25,324.0,0.9257226805975522,0.07359018520504888,0.0006871007881061549
26,325.0,0.925803270360227,0.07350965529875365,0.0006870300166874092
27,326.0,0.9258253115439418,0.07348725519829244,0.0006873975953391633
28,327.0,0.9258658295290765,0.07344583789746557,0.0006883439863795874
29,328.0,0.9257869426057992,0.07352563373195287,0.0006874060813127404
30,329.0,0.9259335946134353,0.07337965160327684,0.0006867444528805653
31,330.0,0.9259845602001251,0.07332840083582233,0.0006870137112059065
32,331.0,0.9259591877140261,0.07335330300828721,0.0006874717740467243
33,332.0,0.9261303354953567,0.07318552534196805,0.0006841241366279377
34,333.0,0.9260628014248067,0.07325247955791932,0.0006847499099816442
35,334.0,0.9262366052320505,0.07307859820976481,0.0006847752279484182
36,335.0,0.9262452902667,0.07307059293270764,0.0006841430879227987
37,336.0,0.9262935827088746,0.0730217608903814,0.0006846360200526228
38,337.0,0.9263608756020651,0.07295624928808678,0.0006828907972687971
39,338.0,0.9264046654143971,0.07291339664362465,0.0006819667395344716
40,339.0,0.9263771812741393,0.07293993932699319,0.0006828680638525855
41,340.0,0.9264987275945715,0.07281759885966776,0.0006836453467846755
42,341.0,0.9264919116022936,0.07282497415524627,0.0006831133993512792
43,342.0,0.9264973376665175,0.07282178773387522,0.0006808401144771307
44,343.0,0.9265815551962383,0.07273692884437274,0.000681533605952915
45,344.0,0.9265964669028246,0.0727223693711292,0.0006811959023906044
46,345.0,0.9267008815487057,0.0726196290028831,0.0006794807017013208
47,346.0,0.926719894830286,0.07259733208999969,0.0006827894333779598
48,347.0,0.9267473787246777,0.07257130291356519,0.0006813477944798479
49,348.0,0.9267081818117366,0.07261268737462442,0.0006790954173993272
50,349.0,0.9268692543435619,0.07245196517850738,0.0006787933708505238
51,350.0,0.9269074054285596,0.07241351421390754,0.0006790898969473727
52,351.0,0.9268551423749514,0.07246543094378802,0.0006794484179594107
53,352.0,0.9269818367275594,0.0723390471709082,0.0006790643167352752
54,353.0,0.9270595200961564,0.07226397566141189,0.0006765061961716324
55,354.0,0.9269988276444167,0.07232305397859495,0.000678084283218227
56,355.0,0.9270029610501698,0.072317600350135,0.0006794267042306053
57,356.0,0.9271077058790288,0.07221434132236987,0.0006780164831306291
58,357.0,0.9271458933768534,0.07217665154934862,0.0006775104642259514
59,358.0,0.9271607354116576,0.072159722798381,0.0006795798484051447
60,359.0,0.9271537037408134,0.07216991511302907,0.0006763561115211059
61,360.0,0.9272257490071218,0.07209848690981138,0.0006757976390395573
62,361.0,0.9272683756516485,0.0720563906421559,0.0006752788994131597
63,362.0,0.9273767339523162,0.07194760209855625,0.0006756321254521495
64,363.0,0.9274153148394598,0.07190916036151443,0.0006755170918317519
65,364.0,0.9273243409287767,0.07199994745732005,0.0006757268079913886
66,365.0,0.9274825895709007,0.07184262871729954,0.0006747923578458366
67,366.0,0.9274400585071826,0.07188502634095213,0.0006749138375951551
68,367.0,0.927515268671826,0.0718105846844567,0.0006741487999718411
69,368.0,0.9275547810127074,0.07177001402874383,0.0006752052078383916
70,369.0,0.9274642398943568,0.07186261803730018,0.0006731467573236159
71,370.0,0.9276045159096047,0.07172229949904793,0.0006731774421560495
72,371.0,0.9276275428182794,0.07169724141434114,0.0006752220705121424
73,372.0,0.9276684239659134,0.07165819395594764,0.0006734012480579385
74,373.0,0.9276399437919094,0.07168733899451607,0.0006727203464810568
75,374.0,0.9277181910551675,0.07160946425050126,0.0006723528409340612
76,375.0,0.9277467534319758,0.07157856868215931,0.0006747037382817083
77,376.0,0.9277346786569524,0.07159326767748966,0.0006720302090088318
78,377.0,0.9278004384808309,0.07152762864796165,0.0006719360927921515
79,378.0,0.9278262669783379,0.07150164862611703,0.0006720610184539178
80,379.0,0.9277989812852268,0.07152798768611904,0.000673079639991642
81,380.0,0.927943576992247,0.07138633049970493,0.0006701019028519656
82,381.0,0.9279567605804606,0.07137335424455163,0.0006698896196824561
83,382.0,0.9279570254090842,0.07137212032848038,0.000670861479770916
84,383.0,0.9279638398871682,0.0713648966600066,0.0006713194640642655
85,384.0,0.9279858202135894,0.07134344112463574,0.0006707197179722621
