,Wavelength,Transmittance,Reflectance,Absorbance
0,300.0,0.9872963912477007,0.011725041642785072,0.0009785685981569404
1,301.0,0.9873153269653824,0.011707398444414138,0.000977281603036332
2,302.0,0.9873340309982693,0.011689957529306412,0.0009760104688575813
3,303.0,0.9873525072590741,0.011672742366790771,0.0009747532526034925
4,304.0,0.98737075957565,0.01165572851896286,0.0009735116987576627
5,305.0,0.9873887916932667,0.011638925075531006,0.0009722852345839938
6,306.0,0.9874066072767924,0.011622320264577865,0.0009710736784654884
7,307.0,0.9874242099127885,0.011605914160609245,0.0009698760854189617
8,308.0,0.987441603111578,0.011589699685573577,0.0009686924174002503
9,309.0,0.9874587903092201,0.01157368317246437,0.0009675226027866464
10,310.0,0.9874757748694336,0.011557858809828759,0.0009663665835705779
11,311.0,0.9874925600854558,0.011542214676737786,0.0009652230021765884
12,312.0,0.9875091491818617,0.011526756286621094,0.0009640933322316582
13,313.0,0.9875255453163154,0.01151146873831749,0.0009629772454718648
14,314.0,0.9875417515812484,0.011496376171708107,0.0009618732747549247
15,315.0,0.9875577710055421,0.011481435969471931,0.0009607820991550573
16,316.0,0.9875736065560975,0.011466695740818978,0.0009597020831006553
17,317.0,0.9875892611394015,0.011452100723981857,0.0009586362315258336
18,318.0,0.9876047376030226,0.01143767386674881,0.0009575809309444776
19,319.0,0.9876200387370916,0.011423423439264297,0.0009565382596793098
20,320.0,0.9876351672756938,0.011409326121211052,0.0009555066162011103
21,321.0,0.9876501258982568,0.011395391821861268,0.0009544867609929686
22,322.0,0.9876649172309027,0.011381608322262765,0.0009534777888257132
23,323.0,0.9876795438477199,0.011367973685264588,0.000952480377727644
24,324.0,0.9876940082720428,0.011354503259062766,0.0009514930036766796
25,325.0,0.9877083129776585,0.01134116992354393,0.000950517883939048
26,326.0,0.9877224603900171,0.01132798671722412,0.0009495523467649236
27,327.0,0.9877364528873745,0.011314953044056893,0.0009485977617896626
28,328.0,0.9877502928019186,0.011302058324217797,0.0009476528004506896
29,329.0,0.9877639824208583,0.011289302930235863,0.0009467183606921233
30,330.0,0.987777523987489,0.01127668097615242,0.000945794293538732
31,331.0,0.9877909197022194,0.01126419447362423,0.000944879607022834
32,332.0,0.9878041717235719,0.011251854225993157,0.0009439746467615112
33,333.0,0.9878172821691745,0.011239635795354842,0.0009430793847514216
34,334.0,0.9878302531166793,0.011227556690573692,0.0009421929110340209
35,335.0,0.9878430866047029,0.011215591803193092,0.0009413169692652669
36,336.0,0.9878557846337371,0.011203770488500596,0.000940448988740195
37,337.0,0.9878683491669839,0.011192059144377708,0.0009395903554559711
38,338.0,0.9878807821312375,0.011180487871170043,0.0009387411226362251
39,339.0,0.9878930854176923,0.011169018894433976,0.000937900105846007
