nm,RealReflectance,SimulatedReflectance
350.0,12.761592,8.53951702833175
351.0,12.690969,8.53248706102371
352.0,12.642524,8.524252119064329
353.0,12.680343,8.51726948261261
354.0,12.696559,8.50916671037674
355.0,12.618696,8.50219598412513
356.0,12.558597,8.49522847652435
357.0,12.59823,8.48763276696205
358.0,12.589426,8.4808199930191
359.0,12.574823,8.473982945680609
360.0,12.480029,8.4664432311058
361.0,12.545377,8.45964676499366
362.0,12.506433,8.45332162857055
363.0,12.475007,8.4465596306324
364.0,12.403563,8.44024576544761
365.0,12.330612,8.43288071036338
366.0,12.239287,8.42660313129425
367.0,12.192781,8.419986937046051
368.0,12.108363,8.41374380588531
369.0,12.14437,8.40760394692421
370.0,12.01451,8.40148863077163
371.0,11.958053,8.39538443088531
372.0,11.907621,8.389281572103501
373.0,11.835779,8.38318189263343
374.0,11.826783,8.377120164632789
375.0,11.783289,8.371150113344191
376.0,11.64999,8.36510022997856
377.0,11.765784,8.35951493144035
378.0,11.985574,8.35359527111053
379.0,11.939605,8.34873010873794
380.0,11.941535,8.34328186392784
381.0,11.911324,8.33739916205406
382.0,11.900399,8.33149032115936
383.0,11.859738,8.32608817338943
384.0,11.819494,8.32138224124908
385.0,11.821676,8.31599190354347
386.0,11.773077,8.31012864351272
387.0,11.753922,8.3047732925415
388.0,11.720177,8.30055604457855
389.0,11.684102,8.29473702430725
390.0,11.683302,8.28950830936431
391.0,11.653284,8.28533040761947
392.0,11.630384,8.27964228987693
393.0,11.610342,8.27547617554664
394.0,11.588906,8.27026430726051
395.0,11.560817,8.26506291389465
396.0,11.538483,8.26093002200126
397.0,11.521707,8.25576176524162
398.0,11.50107,8.25172670364379
399.0,11.501934,8.24656532764434
400.0,11.479656,8.2425627887249
401.0,11.458207,8.23741866707801
402.0,11.450145,8.2334486413002
403.0,11.439706,8.22830956220626
404.0,11.416756,8.22443857312202
405.0,11.400558,8.2193338394165
406.0,11.374215,8.21534765124321
407.0,11.383954,8.21151656389236
408.0,11.367293,8.20689301848411
409.0,11.347183,8.20306513667106
410.0,11.341934,8.19912075042724
411.0,11.33735,8.1941617333889
412.0,11.313665,8.190724079608911
413.0,11.289639,8.18577130794525
414.0,11.269678,8.18195721626281
415.0,11.262121,8.17853076338768
416.0,11.241412,8.174748547077169
417.0,11.220107,8.17028860330581
418.0,11.202911,8.1665083527565
419.0,11.204312,8.16321461200714
420.0,11.189546,8.159443647861481
421.0,11.166025,8.1550285243988
422.0,11.146066,8.15126073718071
423.0,11.132588,8.14800876021385
424.0,11.121219,8.144363172054291
425.0,11.103423,8.13998613238334
426.0,11.081517,8.136711151599881
427.0,11.069324,8.13299189209938
428.0,11.052851,8.12983726263046
429.0,11.044444,8.12660029649734
430.0,11.021041,8.12299657106399
431.0,11.00738,8.1197627711296
432.0,11.00542,8.11552958011627
433.0,10.983906,8.11229894638061
434.0,10.979705,8.10871435880661
435.0,10.965046,8.10551557302474
436.0,10.942178,8.10241571903228
437.0,10.930864,8.09931652426719
438.0,10.92786,8.09612766265869
439.0,10.920535,8.09303102016449
440.0,10.912069,8.089483981132501
441.0,10.890615,8.08641978859901
442.0,10.861514,8.08333305954933
443.0,10.851943,8.08027079463005
444.0,10.876534,8.07721590876579
445.0,10.895303,8.074162893295279
446.0,10.88108,8.07111176252365
447.0,10.871368,8.06806129097938
448.0,10.851311,8.0650181877613
449.0,10.832755,8.062000156641
450.0,10.833826,8.05896019101142
451.0,10.831673,8.05639940500259
452.0,10.824165,8.053390665054321
453.0,10.810183,8.05047535538673
454.0,10.79696,8.04746975421905
455.0,10.780012,8.04443490266799
456.0,10.761018,8.04143975973129
457.0,10.75466,8.0385288965702
458.0,10.747451,8.03601296782493
459.0,10.731927,8.03314064025878
460.0,10.713106,8.03014933228492
461.0,10.681937,8.02825761556625
462.0,10.656348,8.025388453006741
463.0,10.637139,8.02288677334785
464.0,10.621656,8.02001891493797
465.0,10.600597,8.01715414285659
466.0,10.576719,8.014661123752589
467.0,10.568286,8.01182756185531
468.0,10.541246,8.00994710087776
469.0,10.513153,8.00757870793342
470.0,10.498447,8.0047483074665
471.0,10.475092,8.00189597725868
472.0,10.458379,7.99944040417671
473.0,10.447664,7.99768158793449
474.0,10.431268,7.99486781954765
475.0,10.418639,7.99250757098198
476.0,10.408982,7.9896895968914
477.0,10.405121,7.98724640846252
478.0,10.387165,7.98552682638168
479.0,10.363385,7.98319967985153
480.0,10.348239,7.980393431186671
481.0,10.346322,7.97804620623588
482.0,10.346599,7.976327372789379
483.0,10.362116,7.974011949300761
484.0,10.376555,7.97123818039894
485.0,10.372508,7.968925876617431
486.0,10.382697,7.96721509933471
487.0,10.387633,7.96502554059028
488.0,10.391034,7.96223297834396
489.0,10.38328,7.959953142404549
490.0,10.3796,7.95824554562568
491.0,10.392289,7.95594440221786
492.0,10.399975,7.95366832375526
493.0,10.38741,7.95208348989486
494.0,10.386648,7.949816012382501
495.0,10.37456,7.94751926422119
