,Wavelength,Reflectance-Bare,Reflectance-QD
149,651.0,7.485563,10.254239
150,650.0,7.4815819999999995,10.2514965
151,649.0,7.4760735,10.250416999999999
152,648.0,7.476729,10.249653
153,647.0,7.4791415,10.255781500000001
154,646.0,7.478255000000001,10.252507999999999
155,645.0,7.479621,10.250885
156,644.0,7.478301,10.248861999999999
157,643.0,7.4692405,10.2421295
158,642.0,7.4767295,10.2380695
159,641.0,7.4776454999999995,10.2424075
160,640.0,7.475365999999999,10.246341000000001
161,639.0,7.4717275,10.245667000000001
162,638.0,7.472417,10.242064
163,637.0,7.473095,10.244188
164,636.0,7.472557500000001,10.245089499999999
165,635.0,7.474036,10.241353499999999
166,634.0,7.476144,10.244394499999999
167,633.0,7.472374,10.2512245
168,632.0,7.47176,10.251203
169,631.0,7.4739165,10.2464435
170,630.0,7.4676755,10.247686000000002
171,629.0,7.4667010000000005,10.258694
172,628.0,7.465067,10.2551235
173,627.0,7.472989500000001,10.2565365
174,626.0,7.4693075,10.256468000000002
175,625.0,7.465923,10.251642
176,624.0,7.4638545,10.2555745
177,623.0,7.464773,10.245494
178,622.0,7.4688865,10.252969
179,621.0,7.461061,10.252181
180,620.0,7.4660805,10.2487935
181,619.0,7.4697225,10.2523275
182,618.0,7.468226,10.2511725
183,617.0,7.4723515,10.2470125
184,616.0,7.470233,10.255287
185,615.0,7.4715705,10.252778
186,614.0,7.4666205,10.245714
187,613.0,7.4707075,10.253665999999999
188,612.0,7.474859,10.247778
189,611.0,7.473284,10.249669
190,610.0,7.4652305000000005,10.2432615
191,609.0,7.467726000000001,10.2409125
192,608.0,7.4684314999999994,10.2495595
193,607.0,7.4717175000000005,10.257458
194,606.0,7.4863435,10.2434425
195,605.0,7.475016,10.247142499999999
196,604.0,7.481120000000001,10.249309
197,603.0,7.480096,10.253403500000001
198,602.0,7.4730805,10.2468985
199,601.0,7.4803125,10.2520555
200,600.0,7.487405000000001,10.2539455
201,599.0,7.4822055,10.257985999999999
202,598.0,7.478674,10.253331
203,597.0,7.4886225,10.259091999999999
204,596.0,7.4923935,10.259167
205,595.0,7.500363500000001,10.264070499999999
206,594.0,7.4973385,10.266079
207,593.0,7.500358,10.261078999999999
208,592.0,7.499732,10.2640115
209,591.0,7.500724,10.264033999999999
210,590.0,7.5071485,10.2499845
211,589.0,7.508515,10.26681
212,588.0,7.501521,10.2614305
213,587.0,7.506272,10.2616425
214,586.0,7.516515,10.269338000000001
215,585.0,7.5113765,10.2648525
216,584.0,7.518288999999999,10.265425
217,583.0,7.5201405,10.264137999999999
218,582.0,7.5202835,10.264486
219,581.0,7.523346999999999,10.270256
220,580.0,7.52872,10.2805185
221,579.0,7.5355665,10.27712
222,578.0,7.5273415,10.266928499999999
223,577.0,7.529813000000001,10.2653195
224,576.0,7.5350595,10.2825205
225,575.0,7.5420955,10.276152499999998
226,574.0,7.5540354999999995,10.2802925
227,573.0,7.542316,10.2704395
228,572.0,7.5514765,10.282048
229,571.0,7.547557,10.270494
230,570.0,7.558186,10.272016
231,569.0,7.5569455,10.274272499999999
232,568.0,7.5645615,10.2747975
233,567.0,7.5615179999999995,10.274621
234,566.0,7.5591025,10.257843999999999
235,565.0,7.5652565,10.261007
236,564.0,7.5756145,10.2551885
237,563.0,7.573722500000001,10.2518975
238,562.0,7.5792535,10.255066
239,561.0,7.53501,10.3528275
240,560.0,7.533657,10.332712
241,559.0,7.5367204999999995,10.3291525
242,558.0,7.531984,10.338165499999999
243,557.0,7.5308475,10.3290665
244,556.0,7.53936,10.3261725
245,555.0,7.541338,10.3227985
246,554.0,7.5470875,10.3214675
247,553.0,7.554234,10.320553499999999
248,552.0,7.5365850000000005,10.315928
