,nm,Sample1Ref,Sample2Ref,Sample3Ref,Sample4Ref
329,471.0,10.79394,12.231289,10.984459,10.475092
328,472.0,10.773266,12.219297,10.972859,10.458379
327,473.0,10.761526,12.201029,10.970713,10.447664
326,474.0,10.746146,12.17958,10.959759,10.431268
325,475.0,10.737739,12.168147,10.933551,10.418639
324,476.0,10.722449,12.151858,10.923726,10.408982
323,477.0,10.702853,12.138886,10.911141,10.405121
322,478.0,10.683879,12.140597,10.906464,10.387165
321,479.0,10.664162,12.122617,10.888052,10.363385
320,480.0,10.639556,12.083615,10.848633,10.348239
319,481.0,10.618811,12.060681,10.827154,10.346322
318,482.0,10.617879,12.055436,10.817117,10.346599
317,483.0,10.613017,12.042853,10.820825,10.362116
316,484.0,10.60163,12.022445,10.839755,10.376555
315,485.0,10.594747,12.022878,10.837999,10.372508
314,486.0,10.599515,12.019809,10.837257,10.382697
313,487.0,10.612405,12.012437,10.846511,10.387633
312,488.0,10.608224,11.999479,10.849931,10.391034
311,489.0,10.599001,11.992409,10.837281,10.38328
310,490.0,10.593763,11.993026,10.841822,10.3796
309,491.0,10.594379,11.982209,10.848443,10.392289
308,492.0,10.594973,11.983931,10.852573,10.399975
307,493.0,10.598698,11.985186,10.861817,10.38741
306,494.0,10.597466,11.965192,10.863965,10.386648
305,495.0,10.604208,11.946057,10.880272,10.37456
304,496.0,10.601413,11.947237,10.882404,10.388057
303,497.0,10.595283,11.957841,10.88312,10.373198
302,498.0,10.603062,11.962487,10.865871,10.368943
301,499.0,10.608712,11.952717,10.878197,10.358438
300,500.0,10.616381,11.953357,10.868659,10.365035
299,501.0,10.613725,11.943737,10.884102,10.338935
298,502.0,10.622536,11.946203,10.866848,10.325227
297,503.0,10.61368,11.929722,10.837236,10.307499
296,504.0,10.613371,11.91103,10.82874,10.304667
295,505.0,10.603319,11.90637,10.817065,10.286836
294,506.0,10.601299,11.91348,10.800156,10.274333
293,507.0,10.600426,11.875913,10.774882,10.25917
292,508.0,10.600262,11.870574,10.756219,10.25346
291,509.0,10.58865,11.876831,10.740182,10.232701
290,510.0,10.585532,11.85314,10.72306,10.220064
289,511.0,10.599335,11.839255,10.706012,10.206255
288,512.0,10.587102,11.839437,10.693193,10.203187
287,513.0,10.56277,11.81471,10.670628,10.18207
286,514.0,10.578308,11.791684,10.654941,10.177288
