Wavelength,Reflectance-0,Reflectance-5,Reflectance-10,Reflectance-15,Reflectance-20,Reflectance-25,Reflectance-30,Reflectance-35,Reflectance-40,Reflectance-45,Reflectance-50,Reflectance-55,Reflectance-60
300.0,3.7129873657226504,3.71289592742919,3.7140880584716798,3.7204800415039,3.73840270996093,3.7791159057617105,3.8601252746582,4.009067287445061,4.2693177795410095,4.70884155273437,5.43518188476562,6.620064239501949,8.53951702833175
301.0,3.70707977294921,3.7070219039916896,3.70827545166015,3.7149964141845704,3.7324288940429597,3.7733938598632797,3.8542731475829997,4.003041467666621,4.26321914672851,4.7026594543457,5.42878921508789,6.61313819885253,8.53248706102371
302.0,3.70158081054687,3.7016831207275303,3.70283966064453,3.7092877197265604,3.7271987915039,3.76742553710937,3.84829216003417,3.9974803256988505,4.25718040466308,4.69633728027343,5.421982879638669,6.606187286376949,8.524252119064329
303.0,3.6956826782226497,3.6957102966308497,3.69735740661621,3.70340850830078,3.72151824951171,3.76178436279296,3.84251777648925,3.9915943813323898,4.25110572814941,4.69021850585937,5.41560852050781,6.59899185180664,8.51726948261261
304.0,3.6898358154296798,3.6899066543579098,3.6916474914550697,3.69821235656738,3.71564453125,3.75658538818359,3.83712265014648,3.9856055259704504,4.2451048278808505,4.6841157531738205,5.4089811706542905,6.592109375000001,8.50916671037674
305.0,3.68448211669921,3.68464069366455,3.68642173767089,3.69262023925781,3.7105114746093704,3.75071472167968,3.83160339355468,3.9797631168365397,4.2392674255371,4.67803115844726,5.40280700683593,6.58560943603515,8.50219598412513
306.0,3.67957275390625,3.6795256805419903,3.6807368469238195,3.6870190429687497,3.7048654174804603,3.7455435180664,3.8259362030029296,3.97433795928955,4.23374107360839,4.6721614074707,5.39650451660156,6.5788069152832005,8.49522847652435
307.0,3.67426635742187,3.67429088592529,3.67559135437011,3.68193756103515,3.69976104736328,3.7399603271484296,3.82077514648437,3.9691767501831,4.22794174194335,4.66613815307617,5.39035171508789,6.57237129211425,8.48763276696205
308.0,3.66846649169921,3.6685445022583,3.67027542114257,3.6763637542724603,3.6942584228515605,3.7349267578124996,3.81512351989746,3.96389080047607,4.222677993774409,4.66013366699218,5.38424758911132,6.565445175170891,8.4808199930191
309.0,3.66409606933593,3.6639877700805603,3.66516075134277,3.6712957763671796,3.6894427490234296,3.7293722534179596,3.81000396728515,3.95813301086425,4.21724021911621,4.65434387207031,5.37819198608398,6.55903686523437,8.473982945680609
310.0,3.6588439941406206,3.65882205963134,3.6601175689697203,3.66629608154296,3.6839688110351503,3.72456390380859,3.80509094238281,3.9528815841674803,4.21151344299316,4.64899749755859,5.372109680175781,6.55252014160156,8.4664432311058
311.0,3.65317016601562,3.6532571029663,3.6549363708496,3.6610791015624997,3.6789019775390597,3.7190856933593697,3.79953659057617,3.94780901908874,4.20621360778808,4.64330825805664,5.3662115478515595,6.54632926940917,8.45964676499366
312.0,3.64883605957031,3.64873146057128,3.64990890502929,3.6560393524169896,3.67418365478515,3.71408996582031,3.7946360015869103,3.94262549400329,4.20103469848632,4.63759826660156,5.36064880371093,6.54000762939453,8.45332162857055
313.0,3.64374420166015,3.6437653350829997,3.64506118774414,3.6513947296142497,3.6692065429687495,3.70937896728515,3.78931350708007,3.93703901290893,4.1958600616455,4.63248794555664,5.35463409423828,6.533897705078121,8.4465596306324
314.0,3.6385171508789,3.6386422538757297,3.64034645080566,3.6464338684081996,3.66404144287109,3.7044076538085897,3.7843072509765605,3.9325192928314197,4.19034797668457,4.62680114746093,5.34936660766601,6.527738037109369,8.44024576544761
315.0,3.6338330078125,3.6343078422546298,3.6350443267822197,3.64127113342285,3.65908935546875,3.6992517089843697,3.77970207214355,3.9274974822998,4.18519927978515,4.62175308227539,5.34354202270507,6.5216960906982395,8.43288071036338
316.0,3.62875457763671,3.62880870819091,3.63049331665039,3.6365917968750003,3.65447357177734,3.69455596923828,3.77491905212402,3.9223611164093,4.18051437377929,4.61615982055664,5.33759460449218,6.515615234375,8.42660313129425
317.0,3.62447479248046,3.62451429367065,3.6255979156494105,3.6319827270507803,3.6498001098632797,3.6896810913085902,3.76999771118164,3.91749822616577,4.17508964538574,4.61118469238281,5.33235397338867,6.50973510742187,8.419986937046051
318.0,3.6194366455078097,3.61947942733764,3.62107322692871,3.62714050292968,3.64519714355468,3.68502410888671,3.76542007446289,3.91243340492248,4.170481643676751,4.60617401123046,5.32660858154296,6.5040859985351505,8.41374380588531
319.0,3.61530334472656,3.61521127700805,3.61636474609375,3.62254425048828,3.6403445434570303,3.68042205810546,3.76021499633789,3.9074592876434298,4.1655377960205,4.60064224243164,5.321318359375,6.49808975219726,8.40760394692421
320.0,3.6102804565429603,3.6103227043151804,3.6119133758544897,3.6179669189453096,3.63576629638671,3.6758428955078104,3.75571090698242,3.9031634235382002,4.16044486999511,4.59586730957031,5.31614456176757,6.49229484558105,8.40148863077163
321.0,3.60614929199218,3.60606119155883,3.60728088378906,3.6134096527099597,3.6314593505859296,3.67126678466796,3.75103622436523,3.89821785926818,4.15561462402343,4.59093994140625,5.31042526245117,6.48714431762695,8.39538443088531
322.0,3.6012777709960897,3.60133623123168,3.60285247802734,3.6090970611572204,3.62690673828125,3.66671264648437,3.7465542602539004,3.89393499374389,4.1506993865966795,4.585639343261709,5.30571334838867,6.4815399932861295,8.389281572103501
323.0,3.59715667724609,3.5971140098571697,3.5983431243896398,3.60461952209472,3.62241119384765,3.66221557617187,3.74190612792968,3.88904649734497,4.14634742736816,4.5807702636718695,5.30060852050781,6.475829467773429,8.38318189263343
324.0,3.592734375,3.59280979156494,3.59398971557617,3.60054870605468,3.6178842163085903,3.65793395996093,3.73795333862304,3.8848000812530503,4.141347656250001,4.57608291625976,5.29509399414062,6.47012229919433,8.377120164632789
325.0,3.58864929199218,3.58862779617309,3.58994445800781,3.5960961914062497,3.6134146118164,3.6534619140625004,3.73338554382324,3.8799680233001697,4.1370156860351495,4.57145141601562,5.29044738769531,6.46474510192871,8.371150113344191
326.0,3.5838024902343704,3.58396192550659,3.5857063293457,3.5918853759765597,3.60921783447265,3.64939849853515,3.72914184570312,3.87573205947876,4.13219650268554,4.566609802246091,5.28536697387695,6.459694061279291,8.36510022997856
327.0,3.5797283935546798,3.57978666305542,3.5813801574707,3.5873748779296797,3.60521331787109,3.64519866943359,3.724585647583,3.87154150009155,4.1280345153808495,4.56203674316406,5.27991088867187,6.454381103515621,8.35951493144035
328.0,3.5757894897460902,3.5757480621337803,3.57698318481445,3.58325813293457,3.6010418701171796,3.6407537841796804,3.72021766662597,3.86682671546936,4.12323982238769,4.55743072509765,5.2754684448242095,6.44876449584961,8.35359527111053
329.0,3.5714315795898397,3.57154338836669,3.57320983886718,3.5792920684814398,3.5966064453125,3.63658050537109,3.71604858398437,3.8626594734191797,4.1189924621582,4.55287536621093,5.27040893554687,6.44410202026367,8.34873010873794
330.0,3.56750396728515,3.5675119781494096,3.56890914916992,3.57513366699218,3.5924621582031198,3.63261322021484,3.71205245971679,3.8583945369720403,4.11467864990234,4.54828125,5.26558547973632,6.43887168884277,8.34328186392784
331.0,3.5635760498046802,3.56353168487548,3.5647563171386696,3.57097679138183,3.58875823974609,3.62851470947265,3.7078874969482403,3.8543628787994297,4.11060607910156,4.54374450683593,5.261207275390619,6.4334228515625,8.33739916205406
332.0,3.5592379760742103,3.55948051452636,3.5610776519775302,3.56710510253906,3.58441772460937,3.62437347412109,3.70374603271484,3.8502092933654697,4.10638053894042,4.53938415527343,5.256345367431639,6.4288417053222595,8.33149032115936
333.0,3.5553152465820297,3.5553746414184504,3.5569602203369097,3.5629611206054603,3.5807244873046797,3.62048034667968,3.6998439788818303,3.8460915851593,4.10168151855468,4.53490661621093,5.251982421875,6.4236396789550705,8.32608817338943
334.0,3.5519754028320296,3.55193752288818,3.55323051452636,3.5593531036376898,3.57666229248046,3.6163604736328097,3.6957097625732396,3.84212943077087,4.09810554504394,4.53037887573242,5.247185668945311,6.41863571166992,8.32138224124908
335.0,3.54809417724609,3.54798557281494,3.5491920471191403,3.55529808044433,3.5726272583007797,3.6127426147460904,3.69216659545898,3.83812742233276,4.09358421325683,4.5260858154296795,5.24282791137695,6.413913345336909,8.31599190354347
336.0,3.5439175415039,3.5440097427368102,3.54515029907226,3.5512511444091697,3.56902374267578,3.6087033081054596,3.68796745300293,3.8339644336700403,4.08944511413574,4.522273559570309,5.23804992675781,6.40877899169921,8.31012864351272
337.0,3.54004028320312,3.5400663757324202,3.5414585876464804,3.54766868591308,3.56499450683593,3.60466735839843,3.68390647888183,3.82998446464538,4.08541778564453,4.51800384521484,5.23374572753906,6.4044264221191405,8.3047732925415
338.0,3.53672393798828,3.5366780090331997,3.5379762268066397,3.54409210205078,3.5614010620117096,3.6010748291015604,3.68039306640625,3.82655087471008,4.08140174865722,4.51355148315429,5.22940490722656,6.3995132446289,8.30055604457855
339.0,3.53288146972656,3.53278993606567,3.5339634704589797,3.54007194519042,3.5578091430664,3.59748748779296,3.6763500213622997,3.82262097358703,4.07743705749511,4.50933135986328,5.224685058593749,6.39456047058105,8.29473702430725
340.0,3.52873046875,3.52897661209106,3.53055992126464,3.53658500671386,3.5538766479492097,3.59347900390625,3.67271903991699,3.81862217903137,4.07380233764648,4.50555633544921,5.22054931640625,6.390273132324211,8.28950830936431
341.0,3.5250021362304604,3.5250921058654696,3.5267105102539,3.53282974243164,3.5505825805663997,3.5899829101562504,3.66921546936035,3.81470508575439,4.0698461151123,4.50134323120117,5.216396484375,6.3853855895996094,8.28533040761947
342.0,3.5217282104492096,3.52173564910888,3.52312950134277,3.52935089111328,3.5466592407226503,3.5862515258789003,3.6652629089355395,3.81131713867187,4.06592086791992,4.4971839904785105,5.21231018066406,6.381132278442379,8.27964228987693
343.0,3.5184521484375,3.5184280586242602,3.51970146179199,3.5258073425292897,3.54309783935546,3.58276306152343,3.66197761535644,3.8074473857879596,4.06198547363281,4.493599090576169,5.20804260253906,6.37625297546386,8.27547617554664
344.0,3.51473602294921,3.51469247817993,3.51593002319335,3.5221315765380803,3.5396231079101503,3.57927062988281,3.6580332946777303,3.8036136627197203,4.05854270935058,4.4892430114746,5.20354614257812,6.372063293457029,8.27026430726051
345.0,3.51146484375,3.5113606071472097,3.51257362365722,3.5186785125732403,3.53598724365234,3.5755761718750003,3.6545709991454998,3.79977164268493,4.05477584838867,4.48573684692382,5.19989013671875,6.36780769348144,8.26506291389465
