,nm,Ref-0,Ref-5,Ref-10,Ref-15,Ref-20,Ref-45,Ref-50,Ref-55,Ref-60
0,300.0,2.4339317016601503,2.4351781199105,2.43899516296163,2.44813628811165,2.46940243238955,3.45367600620575,4.20377778485957,5.44491582384118,7.4966826581899
1,301.0,2.4301574099302203,2.4310283039703897,2.43465380185991,2.44404133127853,2.46523655615448,3.45438673541443,4.19827635647868,5.44068284912621,7.48695157798938
2,302.0,2.42830847430229,2.42887933327443,2.43180848970413,2.44053094170168,2.46143090490847,3.44810243877284,4.19643147475197,5.43643978896383,7.48108121500331
3,303.0,2.42354012081623,2.42448441587686,2.42765273751765,2.4367082678791103,2.45774961551539,3.44232222268758,4.187895919430621,5.43039927299693,7.47945059806592
4,304.0,2.41868864492513,2.41962063147351,2.42338564194217,2.43266097499728,2.45375302358306,3.4375603232122,4.182313528617001,5.42220794777357,7.47597542808176
5,305.0,2.41690562160015,2.41746072460487,2.4203832749560403,2.42915855617299,2.45002943671047,3.43032358130402,4.18052423885315,5.42057027345132,7.4587321830496105
6,306.0,2.4135479923285503,2.41389773415401,2.41650341150797,2.42553613871522,2.44652423009425,3.4306197431479504,4.17247559149842,5.4166046280968,7.45683524530576
7,307.0,2.40810020456314,2.40920343461185,2.4129974919155197,2.4219047514323098,2.44284367133453,3.4257033312127,4.17077648581434,5.413265621991361,7.44926767469746
8,308.0,2.40508337845876,2.40577932623028,2.40903426981605,2.41813698937594,2.43925450079292,3.42091524423025,4.16550070320907,5.40256591959279,7.452434369629519
9,309.0,2.40244368782602,2.4029195070858997,2.4058698023706597,2.4149281827345397,2.43569192300699,3.41526667722221,4.16186942192241,5.40008860315252,7.44680308976806
10,310.0,2.3972110984057102,2.39843119495883,2.40223034488558,2.41133484469018,2.43221410767249,3.4132035681070696,4.1572648486393495,5.39180628691669,7.437122399069549
11,311.0,2.39399395998604,2.39484413173086,2.39845366071611,2.40767688164226,2.42874208826124,3.4061437141865403,4.15085181467719,5.38719631509725,7.4303435993181495
12,312.0,2.3922790926475,2.39286183607243,2.39579359129369,2.40453250670991,2.42532716529071,3.40384113879734,4.14651343219159,5.38838981044208,7.427764154340689
13,313.0,2.38916886098682,2.3895213364563803,2.39213950749933,2.401108548313,2.4220603899762003,3.4009877458411197,4.14366290578674,5.38230301753198,7.413869930852569
14,314.0,2.38392810978889,2.38505889576077,2.38887013488486,2.39780854532159,2.41867937276847,3.3956364399096897,4.13656845149844,5.3717908724933805,7.41117680291896
15,315.0,2.3808916175126997,2.38165957742258,2.38510964682698,2.39426907921545,2.41525839014239,3.39214250423237,4.13458533249357,5.36599361838093,7.40956915002195
16,316.0,2.37940798041932,2.37995717621743,2.3828086693808403,2.3913672116871902,2.4120003653615703,3.3860007557623,4.13022385882493,5.3639089987223905,7.39686804601773
17,317.0,2.37658492424488,2.37685793905928,2.37925014284774,2.38814027533866,2.40895743058547,3.38482319668745,4.12551388069782,5.35741031726198,7.396993009338989
18,318.0,2.37138587506972,2.37245128712356,2.37616964093893,2.38491820498593,2.40557518963255,3.37850159160979,4.12224560591606,5.35733911805721,7.3986872977769
19,319.0,2.36849180063009,2.36919634189642,2.37247313249781,2.3815491503335497,2.40247104502022,3.3788925589436603,4.11663966194707,5.352332890103851,7.382803017912801
20,320.0,2.36709385066032,2.36760736148804,2.37038099244013,2.37884570496231,2.39939959467425,3.37364734868295,4.11295229171998,5.34197655711369,7.38318076595002
21,321.0,2.36429070185199,2.36454042941331,2.3668501797214097,2.37566412656493,2.39638157825805,3.37019797050468,4.10729396215491,5.34138722691899,7.3693510516203
22,322.0,2.35916495394706,2.36021060900837,2.36390436975657,2.37257815494164,2.3932446283936497,3.3669264704498403,4.105108874508271,5.34062014088165,7.3663094567021306
23,323.0,2.35629954967498,2.35701357611976,2.36029110309705,2.36935573114454,2.39019487099237,3.36264107788354,4.09988709682105,5.32611594465263,7.37252920780479
24,324.0,2.3549375589773,2.35546582196354,2.35825448872149,2.36675784238986,2.38718270650915,3.35744286253508,4.09577188697652,5.32673256025258,7.35901852050488
25,325.0,2.35217022346854,2.35245624993778,2.3548549627993203,2.36369664834551,2.38447192448265,3.35639723434755,4.0945342827788505,5.32814182568453,7.35096552987536
26,326.0,2.34712708530426,2.34823038336485,2.3520159068077797,2.36077761716283,2.38138107722848,3.3520463812725603,4.09410164424646,5.31762318678572,7.34872551982924
27,327.0,2.34437429609932,2.34514884183332,2.3485565234392802,2.35764140817783,2.3785330710254597,3.3467368524709697,4.08919786884626,5.3153579685795105,7.344583789746551
28,328.0,2.34300866153426,2.3435975066788397,2.34650634886026,2.35512152103036,2.37556807774826,3.34339286014353,4.0827913691655695,5.30751801765561,7.35256337319528
29,329.0,2.34036473533697,2.34073227650746,2.3433579034507197,2.3522763571985,2.37292354005575,3.34107200907766,4.07922964509883,5.3083721385871,7.33796516032768
30,330.0,2.3358883101940098,2.33701901063323,2.34070966020897,2.3494894391857,2.37017652271278,3.33813610741486,4.07647759646745,5.3068383796703,7.33284008358223
31,331.0,2.33302540220357,2.33388099500723,2.33744916681051,2.34660026441626,2.36729039106145,3.33248437856417,4.067706950247,5.30051419311082,7.33533030082872
32,332.0,2.3316817869424797,2.33226114298924,2.33522515862472,2.34394297268874,2.36453948001377,3.3329688666091304,4.06591919859843,5.28937582703428,7.3185525341968
33,333.0,2.32918540475368,2.32966174735426,2.33252740101516,2.3414332196544803,2.36193702445887,3.3286361171700003,4.0625245979892,5.29139821544038,7.32524795579193
34,334.0,2.3276020355463,2.3278133606452402,2.33007958867847,2.33876201320886,2.35933285489641,3.3229148994287403,4.06235550938211,5.282236857567351,7.307859820976479
35,335.0,2.3226554218955298,2.32371802100762,2.32740303298234,2.33611148541197,2.3565365363273703,3.3222716059458404,4.05779603783078,5.27993915097788,7.307059293270759
36,336.0,2.3199779696621,2.3207615083903,2.3241601498052398,2.33326521219871,2.353907863627,3.3177736736934604,4.055185874243359,5.27941604138026,7.30217608903814
37,337.0,2.31875460567474,2.31936830860078,2.32231367412284,2.3308835580110503,2.3512841483376903,3.31521635866724,4.04815003991546,5.28260595111744,7.295624928808669
38,338.0,2.31654357155784,2.3168940693967,2.31954025390595,2.32839752314612,2.34888194926865,3.31065967290662,4.04870790277859,5.27006208163835,7.29133966436246
39,339.0,2.31208082466498,2.31327593793198,2.31694286172986,2.32583600120469,2.34634221477359,3.3101532312896103,4.04284352430617,5.2661400330073205,7.293993932699309
40,340.0,2.3099166603445997,2.31097946671582,2.31470655223131,2.32338866042904,2.34382284622788,3.30826199621558,4.03603586783139,5.26622980638416,7.281759885966769
41,341.0,2.30757790706157,2.30831956807822,2.3116438335247302,2.32063234195336,2.34127896508239,3.30319730926984,4.03631254397584,5.26273910790672,7.28249741552462
42,342.0,2.3064264532294096,2.30702279754132,2.30995463123954,2.3185445664938498,2.33883318071514,3.3002339948141897,4.03164963151142,5.2548228295464,7.282178773387519
43,343.0,2.3042895172201,2.3046404821705,2.30722050392553,2.3160252680212197,2.33640562654323,3.29717940236208,4.029637993542099,5.24880697857774,7.273692884437271
44,344.0,2.29991199761591,2.3011211760126002,2.30477218133956,2.31357170925587,2.33411828124374,3.29477322639664,4.02786115117436,5.24735951353237,7.272236937112921
45,345.0,2.29814485604763,2.2991755005940697,2.30278386451639,2.31128344704918,2.3316264801871,3.29214104062812,4.02577604115754,5.24473591086789,7.26196290028831
46,346.0,2.29555359908416,2.2963140697352498,2.2996696833416803,2.30865755855068,2.32926521419622,3.28998748461138,4.018488788562171,5.23961459632329,7.25973320899996
47,347.0,2.29479593656994,2.29533873092308,2.29813776920214,2.30658429419733,2.32699116590879,3.2864363770788505,4.0187002242959995,5.238486597707491,7.2571302913565106
48,348.0,2.29236821489334,2.29278764838427,2.29552593404948,2.30433368653282,2.3246396783970202,3.28274434307329,4.01737217070749,5.234304707537589,7.26126873746244
49,349.0,2.2909596836593003,2.29117754993252,2.2934455283939803,2.30214204970411,2.32241912720315,3.28190456815008,4.0108530643449996,5.23403138020848,7.24519651785073
50,350.0,2.28630689671039,2.2874073363143896,2.29111128631569,2.29983065258562,2.32011608162485,3.27863253419539,4.01116546268081,5.2317601004899394,7.24135142139075
51,351.0,2.28414072856381,2.2849492534168,2.28839666326157,2.29738415607288,2.3178022892907197,3.27437501711398,4.00607931620674,5.226247673135529,7.246543094378801
