nm, %R
510.000000, 10.220064
509.000000, 10.232701
508.000000, 10.253460
507.000000, 10.259170
506.000000, 10.274333
505.000000, 10.286836
504.000000, 10.304667
503.000000, 10.307499
502.000000, 10.325227
501.000000, 10.338935
500.000000, 10.365035
499.000000, 10.358438
498.000000, 10.368943
497.000000, 10.373198
496.000000, 10.388057
495.000000, 10.374560
494.000000, 10.386648
493.000000, 10.387410
492.000000, 10.399975
491.000000, 10.392289
490.000000, 10.379600
489.000000, 10.383280
488.000000, 10.391034
487.000000, 10.387633
486.000000, 10.382697
485.000000, 10.372508
484.000000, 10.376555
483.000000, 10.362116
482.000000, 10.346599
481.000000, 10.346322
480.000000, 10.348239
479.000000, 10.363385
478.000000, 10.387165
477.000000, 10.405121
476.000000, 10.408982
475.000000, 10.418639
474.000000, 10.431268
473.000000, 10.447664
472.000000, 10.458379
471.000000, 10.475092
470.000000, 10.498447
469.000000, 10.513153
468.000000, 10.541246
467.000000, 10.568286
466.000000, 10.576719
465.000000, 10.600597
464.000000, 10.621656
463.000000, 10.637139
462.000000, 10.656348
461.000000, 10.681937
460.000000, 10.713106
459.000000, 10.731927
458.000000, 10.747451
457.000000, 10.754660
456.000000, 10.761018
455.000000, 10.780012
454.000000, 10.796960
453.000000, 10.810183
452.000000, 10.824165
451.000000, 10.831673
450.000000, 10.833826
449.000000, 10.832755
448.000000, 10.851311
447.000000, 10.871368
446.000000, 10.881080
445.000000, 10.895303
444.000000, 10.876534
443.000000, 10.851943
442.000000, 10.861514
441.000000, 10.890615
440.000000, 10.912069
439.000000, 10.920535
438.000000, 10.927860
437.000000, 10.930864
436.000000, 10.942178
435.000000, 10.965046
434.000000, 10.979705
433.000000, 10.983906
432.000000, 11.005420
431.000000, 11.007380
430.000000, 11.021041
429.000000, 11.044444
428.000000, 11.052851
427.000000, 11.069324
426.000000, 11.081517
425.000000, 11.103423
424.000000, 11.121219
423.000000, 11.132588
422.000000, 11.146066
421.000000, 11.166025
420.000000, 11.189546
419.000000, 11.204312
418.000000, 11.202911
417.000000, 11.220107
416.000000, 11.241412
415.000000, 11.262121
414.000000, 11.269678
413.000000, 11.289639
412.000000, 11.313665
411.000000, 11.337350
410.000000, 11.341934
409.000000, 11.347183
408.000000, 11.367293
407.000000, 11.383954
406.000000, 11.374215
405.000000, 11.400558
404.000000, 11.416756
403.000000, 11.439706
402.000000, 11.450145
401.000000, 11.458207
400.000000, 11.479656
399.000000, 11.501934
398.000000, 11.501070
397.000000, 11.521707
396.000000, 11.538483
395.000000, 11.560817
394.000000, 11.588906
393.000000, 11.610342
392.000000, 11.630384
391.000000, 11.653284
390.000000, 11.683302
389.000000, 11.684102
388.000000, 11.720177
387.000000, 11.753922
386.000000, 11.773077
385.000000, 11.821676
384.000000, 11.819494
383.000000, 11.859738
382.000000, 11.900399
381.000000, 11.911324
380.000000, 11.941535
379.000000, 11.939605
378.000000, 11.985574
377.000000, 11.765784
376.000000, 11.649990
375.000000, 11.783289
374.000000, 11.826783
373.000000, 11.835779
372.000000, 11.907621
371.000000, 11.958053
370.000000, 12.014510
369.000000, 12.144370
368.000000, 12.108363
367.000000, 12.192781
366.000000, 12.239287
365.000000, 12.330612
364.000000, 12.403563
363.000000, 12.475007
362.000000, 12.506433
361.000000, 12.545377
360.000000, 12.480029
359.000000, 12.574823
358.000000, 12.589426
357.000000, 12.598230
356.000000, 12.558597
355.000000, 12.618696
354.000000, 12.696559
353.000000, 12.680343
352.000000, 12.642524
351.000000, 12.690969
350.000000, 12.761592
