nm, %R
510.000000, 8.170439
509.000000, 8.205805
508.000000, 8.228383
507.000000, 8.255348
506.000000, 8.281330
505.000000, 8.306245
504.000000, 8.335689
503.000000, 8.354299
502.000000, 8.374985
501.000000, 8.398451
500.000000, 8.407407
499.000000, 8.416984
498.000000, 8.421991
497.000000, 8.429118
496.000000, 8.443045
495.000000, 8.445387
494.000000, 8.462632
493.000000, 8.459952
492.000000, 8.463288
491.000000, 8.471020
490.000000, 8.463350
489.000000, 8.463337
488.000000, 8.471481
487.000000, 8.477126
486.000000, 8.470170
485.000000, 8.463871
484.000000, 8.464199
483.000000, 8.462941
482.000000, 8.448607
481.000000, 8.443031
480.000000, 8.461073
479.000000, 8.488297
478.000000, 8.515861
477.000000, 8.524649
476.000000, 8.540475
475.000000, 8.560504
474.000000, 8.576111
473.000000, 8.589887
472.000000, 8.606987
471.000000, 8.626550
470.000000, 8.645857
469.000000, 8.666301
468.000000, 8.685728
467.000000, 8.706879
466.000000, 8.724994
465.000000, 8.744886
464.000000, 8.763540
463.000000, 8.788663
462.000000, 8.809820
461.000000, 8.813825
460.000000, 8.825368
459.000000, 8.835129
458.000000, 8.850051
457.000000, 8.861300
456.000000, 8.870709
455.000000, 8.883085
454.000000, 8.884671
453.000000, 8.895202
452.000000, 8.907109
451.000000, 8.900835
450.000000, 8.901027
449.000000, 8.910938
448.000000, 8.904458
447.000000, 8.908528
446.000000, 8.895060
445.000000, 8.879504
444.000000, 8.884740
443.000000, 8.871228
442.000000, 8.862460
441.000000, 8.877857
440.000000, 8.885561
439.000000, 8.880013
438.000000, 8.876805
437.000000, 8.870074
436.000000, 8.868499
435.000000, 8.870594
434.000000, 8.861846
433.000000, 8.859455
432.000000, 8.854319
431.000000, 8.829061
430.000000, 8.818595
429.000000, 8.807303
428.000000, 8.795245
427.000000, 8.779639
426.000000, 8.768560
425.000000, 8.768869
424.000000, 8.758705
423.000000, 8.727666
422.000000, 8.711866
421.000000, 8.701132
420.000000, 8.689743
419.000000, 8.669777
418.000000, 8.634212
417.000000, 8.617801
416.000000, 8.601038
415.000000, 8.587907
414.000000, 8.579357
413.000000, 8.568873
412.000000, 8.529893
411.000000, 8.518651
410.000000, 8.490837
409.000000, 8.450459
408.000000, 8.437444
407.000000, 8.429551
406.000000, 8.401898
405.000000, 8.381893
404.000000, 8.341893
403.000000, 8.323218
402.000000, 8.282937
401.000000, 8.264682
400.000000, 8.257128
399.000000, 8.218808
398.000000, 8.172602
397.000000, 8.143823
396.000000, 8.117057
395.000000, 8.095964
394.000000, 8.065347
393.000000, 8.037797
392.000000, 8.018532
391.000000, 7.977084
390.000000, 7.960185
389.000000, 7.945094
388.000000, 7.929311
387.000000, 7.912509
386.000000, 7.901288
385.000000, 7.862063
384.000000, 7.854388
383.000000, 7.840013
382.000000, 7.798283
381.000000, 7.824319
380.000000, 7.803689
379.000000, 7.798870
378.000000, 7.811582
377.000000, 6.993412
376.000000, 6.584924
375.000000, 6.837065
374.000000, 6.913190
373.000000, 7.081895
372.000000, 7.199955
371.000000, 7.410646
370.000000, 7.306451
369.000000, 7.437783
368.000000, 7.448440
367.000000, 7.454214
366.000000, 7.432101
365.000000, 7.485448
364.000000, 7.501444
363.000000, 7.576368
362.000000, 7.379200
361.000000, 7.402437
360.000000, 7.532545
359.000000, 7.549432
358.000000, 7.433269
357.000000, 7.387292
356.000000, 7.459278
355.000000, 7.488909
354.000000, 7.463903
353.000000, 7.570152
352.000000, 7.457261
351.000000, 7.584031
350.000000, 7.430769
349.000000, 7.564339
348.000000, 7.618195
347.000000, 7.517938
346.000000, 7.521193
345.000000, 7.592860
344.000000, 7.565723
343.000000, 7.533496
342.000000, 7.546698
341.000000, 7.521480
340.000000, 7.486463
339.000000, 7.597221
338.000000, 7.507303
337.000000, 7.437449
336.000000, 7.457818
335.000000, 7.481298
334.000000, 7.531481
333.000000, 7.658798
332.000000, 7.642582
331.000000, 7.680333
330.000000, 7.392295
329.000000, 7.665426
328.000000, 7.600175
327.000000, 7.739345
326.000000, 7.605867
325.000000, 7.622711
324.000000, 7.476695
323.000000, 7.757094
322.000000, 7.775659
321.000000, 7.702779
320.000000, 7.488346
319.000000, 7.711953
318.000000, 7.166115
317.000000, 7.104037
316.000000, 7.087519
315.000000, 7.087404
314.000000, 7.102517
313.000000, 7.103203
312.000000, 7.086025
311.000000, 7.137095
310.000000, 7.168146
309.000000, 7.116799
308.000000, 7.110155
307.000000, 7.148356
306.000000, 7.184752
305.000000, 7.279375
304.000000, 7.277564
303.000000, 7.300970
302.000000, 7.315199
301.000000, 7.390574
300.000000, 7.434578
299.000000, 7.543452
298.000000, 7.640320
297.000000, 7.717378
296.000000, 7.838497
295.000000, 7.951499
294.000000, 8.084940
293.000000, 8.140421
292.000000, 8.220994
291.000000, 8.296756
290.000000, 8.328310
289.000000, 8.331485
288.000000, 8.338976
287.000000, 8.320654
286.000000, 8.265995
285.000000, 8.230535
284.000000, 8.229890
283.000000, 8.215396
282.000000, 8.244254
281.000000, 8.214069
280.000000, 8.212495
279.000000, 8.226175
278.000000, 8.203753
277.000000, 8.172270
276.000000, 8.197022
275.000000, 8.212162
274.000000, 8.257037
273.000000, 8.260823
272.000000, 8.304822
271.000000, 8.312931
270.000000, 8.387026
269.000000, 8.434398
268.000000, 8.446651
267.000000, 8.520029
266.000000, 8.607740
265.000000, 8.693040
264.000000, 8.774835
263.000000, 8.857966
262.000000, 8.942625
261.000000, 9.006808
260.000000, 9.062015
259.000000, 9.128057
258.000000, 9.277583
257.000000, 9.374616
256.000000, 9.482024
255.000000, 9.526877
254.000000, 9.599706
253.000000, 9.748789
252.000000, 9.827926
251.000000, 9.948033
250.000000, 10.082750
